loan_id,customer_id,product_type,principal_amount,interest_rate,term_months,origination_date,origination_channel,status,borrower_info
L0009053,C004089,PERSONAL,32256.80,10.12,12,2023-05-03,partner,active,"{""credit_score"": 672, ""employment"": ""unemployed"", ""annual_income"": 86827, ""years_employed"": 2}"
L0002253,C000627,personal,24315.74,17.82,60,2021-11-16,branch,closed,"{""credit_score"": 592, ""employment"": ""unemployed"", ""annual_income"": 142824, ""years_employed"": 10}"
L0008438,C001653,Mortgage,223956.81,3.18,360,11-Dec-2020,branch,default,"{""credit_score"": 605, ""employment"": ""salaried"", ""annual_income"": 118306, ""years_employed"": 2}"
L0009027,C003955,STUDENT,38366.86,5.8,120,2023-12-21,online,default,"{""credit_score"": 717, ""employment"": ""self-employed"", ""annual_income"": 127459, ""years_employed"": 6}"
L0008730,C001196,PERSONAL,"$33,517.74",24.72,12,08/19/2020,partner,active,"{""credit_score"": 652, ""employment"": ""salaried"", ""annual_income"": 215780, ""years_employed"": 21}"
L0007755,C001588,Auto,42801.84,13.77,72,2020-08-04,broker,default,"{""credit_score"": 817, ""employment"": ""unemployed"", ""annual_income"": 111356, ""years_employed"": 11}"
L0008041,C001016,Personal,"15,451.43",7.8,36,2020-01-18,partner,active,"{""credit_score"": 632, ""employment"": ""retired"", ""annual_income"": 298061, ""years_employed"": 28}"
L0003483,C002696,AUTO,24032.56,9.71,48,2023-03-16,online,closed,"{""credit_score"": 655, ""employment"": ""self-employed"", ""annual_income"": 291576, ""years_employed"": 27}"
L0003652,C001359,mortgage,491402,7.42,120,2021-02-03,partner,active,"{""credit_score"": 728, ""employment"": ""salaried"", ""annual_income"": 251795, ""years_employed"": 30}"
L0009656,C001876,AUTO,"10,051.35",9.81,84,2022-09-12,branch,active,"{""credit_score"": 811, ""employment"": ""retired"", ""annual_income"": 124943, ""years_employed"": 29}"
L0000718,C001622,auto,19433,9.01,84,2020-01-28,online,active,"{""credit_score"": 694, ""employment"": ""self-employed"", ""annual_income"": 72669, ""years_employed"": 2,}"
